,Name,State,Category,Policy/Incentive Type,URL,Created,Last Updated
0,Successor Solar Incentive (SuSI) Program - Administratively Determined Incentive,NJ,Financial Incentive,Performance-Based Incentive,https://programs.dsireusa.org/system/program/detail/22418/successor-solar-incentive-susi-program-administratively-determined-incentive,10/01/2021,05/02/2023
1,AES OHIO - Residential Energy Efficiency Rebate Program,OH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3755/aes-ohio-residential-energy-efficiency-rebate-program,11/10/2009,04/28/2023
2,Piedmont EMC - Residential Energy Efficiency Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2121/piedmont-emc-residential-energy-efficiency-rebate-program,09/05/2006,04/27/2023
3,South River EMC - Solar Water Heating Rebate Program,NC,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3351/south-river-emc-solar-water-heating-rebate-program,04/20/2009,04/27/2023
4,Orange and Rockland Utilities (Electric) - Energy Efficiency Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/5011/orange-and-rockland-utilities-electric-energy-efficiency-program,01/14/2010,04/27/2023
5,Orange and Rockland Utilities (Gas) - Residential Efficiency Program,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3905/orange-and-rockland-utilities-gas-residential-efficiency-program,01/14/2010,04/27/2023
6,Orange and Rockland Utilities (Electric) - Commercial Efficiency Programs,NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4644/orange-and-rockland-utilities-electric-commercial-efficiency-programs,02/17/2011,04/27/2023
7,National Grid (Gas) - Commercial Energy Efficiency Rebate Programs (Metro New York),NY,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4371/national-grid-gas-commercial-energy-efficiency-rebate-programs-metro-new-york,10/05/2010,04/19/2023
8,El Paso Electric Company - Residential Efficiency Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3842/el-paso-electric-company-residential-efficiency-program,12/15/2009,04/19/2023
9,Central New Mexico Electric Cooperative - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2599/central-new-mexico-electric-cooperative-residential-energy-efficiency-rebate-program,06/06/2007,04/14/2023
10,Xcel Energy - Residential Energy Efficiency Rebate Program,NM,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4079/xcel-energy-residential-energy-efficiency-rebate-program,04/08/2010,04/14/2023
11,New Hampshire Electric Co-op - Residential Energy Efficiency Rebate Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2163/new-hampshire-electric-co-op-residential-energy-efficiency-rebate-programs,09/14/2006,04/14/2023
12,Liberty Utilities (Gas) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22080/liberty-utilities-gas-residential-energy-efficiency-programs,05/14/2019,04/14/2023
13,Unitil (Electric) - Residential Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/1373/unitil-electric-residential-energy-efficiency-programs,04/18/2006,04/13/2023
14,Unitil (Gas) - Commercial and Industrial Energy Efficiency Programs,NH,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4820/unitil-gas-commercial-and-industrial-energy-efficiency-programs,12/27/2007,04/13/2023
15,Southwest Gas Corporation - Residential Energy Efficiency Rebate Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3954/southwest-gas-corporation-residential-energy-efficiency-rebate-program,02/03/2010,04/13/2023
16,Southwest Gas Corporation - Solar Water Heating Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3996/southwest-gas-corporation-solar-water-heating-program,02/23/2010,04/13/2023
17,NV Energy - Solar Thermal Heating Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/4590/nv-energy-solar-thermal-heating-program,02/01/2011,04/13/2023
18,NV Energy - Energy Storage Incentive Program,NV,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/22075/nv-energy-energy-storage-incentive-program,03/27/2019,04/13/2023
19,Flathead Electric Cooperative - Residential Energy Efficiency Rebate Program,MT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2178/flathead-electric-cooperative-residential-energy-efficiency-rebate-program,09/15/2006,04/12/2023
20,Flathead Electric Cooperative - New and Manufactured Home Incentive Program,MT,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2179/flathead-electric-cooperative-new-and-manufactured-home-incentive-program,09/15/2006,04/12/2023
21,Southern Minnesota Municipal Power Agency - (17 Municipal Utilities) - Residential Energy Efficiency Rebate Program,MN,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/2592/southern-minnesota-municipal-power-agency-17-municipal-utilities-residential-energy-efficiency-rebate-program,06/01/2007,04/12/2023
22,Georgia Power - Home Energy Improvement Program,GA,Financial Incentive,Rebate Program,https://programs.dsireusa.org/system/program/detail/3175/georgia-power-home-energy-improvement-program,12/11/2008,04/12/2023
